underwriter,year,rank,source_column
A.G.P/Alliance Global Partners,2021,3.0,Rank2122
A.G.P/Alliance Global Partners,2022,3.0,Rank2122
A.G.P/Alliance Global Partners,2023,3.0,Rank23
A.G.P/Alliance Global Partners,2024,3.0,Rank24
AC Sunshine Securities LLC,2023,2.0,Rank23
AC Sunshine Securities LLC,2024,2.0,Rank24
AMTD Global Markets,2018,7.5,Rank1820
AMTD Global Markets,2019,7.5,Rank1820
AMTD Global Markets,2020,7.5,Rank1820
AMTD Global Markets,2021,7.5,Rank2122
AMTD Global Markets,2022,7.5,Rank2122
AMTD Global Markets,2023,7.5,Rank23
Absa Bank Ltd,2021,7.0,Rank2122
Absa Bank Ltd,2022,7.0,Rank2122
Aegis Capital,2018,3.0,Rank1820
Aegis Capital,2019,3.0,Rank1820
Aegis Capital,2020,3.0,Rank1820
Aegis Capital,2021,3.0,Rank2122
Aegis Capital,2022,3.0,Rank2122
Aegis Capital,2023,2.0,Rank23
Aegis Capital,2024,2.0,Rank24
"Alexander Capital, LP",2018,2.0,Rank1820
"Alexander Capital, LP",2019,2.0,Rank1820
"Alexander Capital, LP",2020,2.0,Rank1820
"Alexander Capital, LP",2021,2.0,Rank2122
"Alexander Capital, LP",2022,2.0,Rank2122
"Alexander Capital, LP",2023,2.0,Rank23
"Alexander Capital, LP",2024,2.0,Rank24
Allen & Co Inc,2018,8.0,Rank1820
Allen & Co Inc,2019,8.0,Rank1820
Allen & Co Inc,2020,8.0,Rank1820
Allen & Co Inc,2021,8.0,Rank2122
Allen & Co Inc,2022,8.0,Rank2122
Allen & Co Inc,2023,8.0,Rank23
Allen & Co Inc,2024,8.0,Rank24
Alliance Global (see A.G.P.),2018,3.0,Rank1820
Alliance Global (see A.G.P.),2019,3.0,Rank1820
Alliance Global (see A.G.P.),2020,3.0,Rank1820
Alliance Global (see A.G.P.),2021,3.0,Rank2122
Alliance Global (see A.G.P.),2022,3.0,Rank2122
Alliance Global (see A.G.P.),2023,3.0,Rank23
Alliance Global (see A.G.P.),2024,3.0,Rank24
American Trust Investment Services,2024,2.0,Rank24
Apollo,2024,8.0,Rank24
Axiom-Cap,2018,4.0,Rank1820
Axiom-Cap,2019,4.0,Rank1820
Axiom-Cap,2020,4.0,Rank1820
Axiom-Cap,2021,3.0,Rank2122
Axiom-Cap,2022,3.0,Rank2122
Axiom-Cap,2023,3.0,Rank23
Axiom-Cap,2024,3.0,Rank24
B-Riley,2018,5.0,Rank1820
B-Riley,2019,5.0,Rank1820
B-Riley,2020,5.0,Rank1820
B-Riley,2021,5.0,Rank2122
B-Riley,2022,5.0,Rank2122
B-Riley,2023,5.0,Rank23
B-Riley,2024,5.0,Rank24
B-Riley-FBR,2018,5.0,Rank1820
B-Riley-FBR,2019,5.0,Rank1820
B-Riley-FBR,2020,5.0,Rank1820
BC Partners,2018,7.0,Rank1820
BC Partners,2019,7.0,Rank1820
BC Partners,2020,7.0,Rank1820
BC Partners,2021,7.0,Rank2122
BC Partners,2022,7.0,Rank2122
BMO Capital Markets,2018,7.5,Rank1820
BMO Capital Markets,2019,7.5,Rank1820
BMO Capital Markets,2020,7.5,Rank1820
BMO Capital Markets,2021,7.5,Rank2122
BMO Capital Markets,2022,7.5,Rank2122
BMO Capital Markets,2023,7.5,Rank23
BMO Capital Markets,2024,7.5,Rank24
BNP Paribas SA (BNP-CA),2018,8.0,Rank1820
BNP Paribas SA (BNP-CA),2019,8.0,Rank1820
BNP Paribas SA (BNP-CA),2020,8.0,Rank1820
BNP Paribas SA (BNP-CA),2021,8.0,Rank2122
BNP Paribas SA (BNP-CA),2022,8.0,Rank2122
BNP Paribas SA (BNP-CA),2023,8.0,Rank23
BNP Paribas SA (BNP-CA),2024,8.0,Rank24
BOCI Asia,2018,4.0,Rank1820
BOCI Asia,2019,4.0,Rank1820
BOCI Asia,2020,4.0,Rank1820
BTG Pactual,2021,7.5,Rank2122
BTG Pactual,2022,7.5,Rank2122
BTIG,2018,6.5,Rank1820
BTIG,2019,6.5,Rank1820
BTIG,2020,6.5,Rank1820
BTIG,2021,6.5,Rank2122
BTIG,2022,6.5,Rank2122
BTIG,2023,6.5,Rank23
BTIG,2024,6.5,Rank24
Banco Bradesco,2018,8.0,Rank1820
Banco Bradesco,2019,8.0,Rank1820
Banco Bradesco,2020,8.0,Rank1820
Banco Bradesco,2021,8.0,Rank2122
Banco Bradesco,2022,8.0,Rank2122
"Bancroft Capital, LLC",2024,3.0,Rank24
Bank of America-Merrill Lynch (BOA-Merrill),2018,8.5,Rank1820
Bank of America-Merrill Lynch (BOA-Merrill),2019,8.5,Rank1820
Bank of America-Merrill Lynch (BOA-Merrill),2020,8.5,Rank1820
Bank of America-Merrill Lynch (BOA-Merrill),2021,8.5,Rank2122
Bank of America-Merrill Lynch (BOA-Merrill),2022,8.5,Rank2122
Bank of America-Merrill Lynch (BOA-Merrill),2023,8.5,Rank23
Bank of America-Merrill Lynch (BOA-Merrill),2024,8.5,Rank24
Barclays Capital,2018,8.0,Rank1820
Barclays Capital,2019,8.0,Rank1820
Barclays Capital,2020,8.0,Rank1820
Barclays Capital,2021,8.0,Rank2122
Barclays Capital,2022,8.0,Rank2122
Barclays Capital,2023,8.0,Rank23
Barclays Capital,2024,8.0,Rank24
Benchmark Company (The),2018,4.0,Rank1820
Benchmark Company (The),2019,4.0,Rank1820
Benchmark Company (The),2020,4.0,Rank1820
Benchmark Company (The),2021,3.0,Rank2122
Benchmark Company (The),2022,3.0,Rank2122
Benchmark Company (The),2023,2.0,Rank23
Benchmark Company (The),2024,2.0,Rank24
Benjamin Securities,2023,2.0,Rank23
Benjamin Securities,2024,2.0,Rank24
Berenberg,2018,6.0,Rank1820
Berenberg,2019,6.0,Rank1820
Berenberg,2020,6.0,Rank1820
Berenberg,2021,6.0,Rank2122
Berenberg,2022,6.0,Rank2122
Boustead Securities,2018,2.0,Rank1820
Boustead Securities,2019,2.0,Rank1820
Boustead Securities,2020,2.0,Rank1820
Boustead Securities,2021,2.0,Rank2122
Boustead Securities,2022,2.0,Rank2122
Boustead Securities,2023,2.0,Rank23
Boustead Securities,2024,2.0,Rank24
Brookline,2018,4.0,Rank1820
Brookline,2019,4.0,Rank1820
Brookline,2020,4.0,Rank1820
Brookline,2021,4.0,Rank2122
Brookline,2022,4.0,Rank2122
Brookline,2023,3.0,Rank23
Brookline,2024,2.0,Rank24
CIBC Oppenheimer,2018,7.5,Rank1820
CIBC Oppenheimer,2019,7.5,Rank1820
CIBC Oppenheimer,2020,7.5,Rank1820
CIBC Oppenheimer,2021,7.5,Rank2122
CIBC Oppenheimer,2022,7.5,Rank2122
CLSA,2018,6.5,Rank1820
CLSA,2019,6.5,Rank1820
CLSA,2020,6.5,Rank1820
CLSA,2021,6.5,Rank2122
CLSA,2022,6.5,Rank2122
CMB International Capital Ltd,2018,7.0,Rank1820
CMB International Capital Ltd,2019,7.0,Rank1820
CMB International Capital Ltd,2020,7.0,Rank1820
CMB International Capital Ltd,2021,7.0,Rank2122
CMB International Capital Ltd,2022,7.0,Rank2122
CMB International Capital Ltd,2023,7.0,Rank23
Canaccord Genuity,2018,6.5,Rank1820
Canaccord Genuity,2019,6.5,Rank1820
Canaccord Genuity,2020,6.5,Rank1820
Canaccord Genuity,2021,6.5,Rank2122
Canaccord Genuity,2022,6.5,Rank2122
Cantor,2023,6.0,Rank23
Cantor,2024,6.5,Rank24
"Cantor, Fitzgerald & Co., Inc.",2018,6.0,Rank1820
"Cantor, Fitzgerald & Co., Inc.",2019,6.0,Rank1820
"Cantor, Fitzgerald & Co., Inc.",2020,6.0,Rank1820
"Cantor, Fitzgerald & Co., Inc.",2021,6.0,Rank2122
"Cantor, Fitzgerald & Co., Inc.",2022,6.0,Rank2122
"Cantor, Fitzgerald & Co., Inc.",2023,6.0,Rank23
Castleoak,2023,7.0,Rank23
Cathay,2024,3.0,Rank24
"Chardan Capital Markets, LLC",2018,4.0,Rank1820
"Chardan Capital Markets, LLC",2019,4.0,Rank1820
"Chardan Capital Markets, LLC",2020,4.0,Rank1820
"Chardan Capital Markets, LLC",2021,4.0,Rank2122
"Chardan Capital Markets, LLC",2022,4.0,Rank2122
"Chardan Capital Markets, LLC",2023,4.0,Rank23
"Chardan Capital Markets, LLC",2024,4.0,Rank24
China International Capital Corp (CICC),2018,8.5,Rank1820
China International Capital Corp (CICC),2019,8.5,Rank1820
China International Capital Corp (CICC),2020,8.5,Rank1820
China International Capital Corp (CICC),2021,8.5,Rank2122
China International Capital Corp (CICC),2022,8.5,Rank2122
China International Capital Corp (CICC),2023,8.5,Rank23
China International Capital Corp (CICC),2024,8.5,Rank24
China Investment Securities International,2018,7.5,Rank1820
China Investment Securities International,2019,7.5,Rank1820
China Investment Securities International,2020,7.5,Rank1820
China Merchants Securities,2018,4.0,Rank1820
China Merchants Securities,2019,4.0,Rank1820
China Merchants Securities,2020,4.0,Rank1820
China Renaissance (CRS),2018,8.0,Rank1820
China Renaissance (CRS),2019,8.0,Rank1820
China Renaissance (CRS),2020,8.0,Rank1820
China Renaissance (CRS),2021,8.0,Rank2122
China Renaissance (CRS),2022,8.0,Rank2122
China Renaissance (CRS),2023,8.0,Rank23
Citicorp Securities Inc,2018,9.0,Rank1820
Citicorp Securities Inc,2019,9.0,Rank1820
Citicorp Securities Inc,2020,9.0,Rank1820
Citigroup,2018,8.5,Rank1820
Citigroup,2019,8.5,Rank1820
Citigroup,2020,8.5,Rank1820
Citigroup,2021,8.5,Rank2122
Citigroup,2022,8.5,Rank2122
Citigroup,2023,8.5,Rank23
Citigroup,2024,8.5,Rank24
Citigroup Global Markets Inc,2018,9.0,Rank1820
Citigroup Global Markets Inc,2019,9.0,Rank1820
Citigroup Global Markets Inc,2020,9.0,Rank1820
Clarksons Platou,2021,6.0,Rank2122
Clarksons Platou,2022,6.0,Rank2122
Clear Street,2024,3.0,Rank24
Code Advisors,2021,7.0,Rank2122
Code Advisors,2022,7.0,Rank2122
Cohen & Co,2024,2.0,Rank24
Cowen,2018,7.0,Rank1820
Cowen,2019,7.0,Rank1820
Cowen,2020,7.0,Rank1820
Cowen,2021,7.0,Rank2122
Cowen,2022,7.0,Rank2122
Craft Capital,2021,3.0,Rank2122
Craft Capital,2022,3.0,Rank2122
Craft Capital,2023,3.0,Rank23
Craft Capital,2024,3.0,Rank24
"Craig-Hallum, Inc.",2018,4.0,Rank1820
"Craig-Hallum, Inc.",2019,4.0,Rank1820
"Craig-Hallum, Inc.",2020,4.0,Rank1820
"Craig-Hallum, Inc.",2021,4.0,Rank2122
