ticker,cik,sic,sic_description,status
MAMO,0001952853,3790,Miscellaneous Transportation Equipment,ok
MARX,,,,cik_not_found
MASS,0001555279,3826,Laboratory Analytical Instruments,ok
MAX,0001818383,7389,"Services-Business Services, NEC",ok
MBAV,0002016072,6770,Blank Checks,ok
MBLY,0001910139,7372,Services-Prepackaged Software,ok
MBSC,,,,cik_not_found
MBX,0001776111,2834,Pharmaceutical Preparations,ok
MCAA,,,,cik_not_found
MCAC,,,,cik_not_found
MCAF,,,,cik_not_found
MCAG,0001859035,3841,Surgical & Medical Instruments & Apparatus,ok
MCBS,0001747068,6022,State Commercial Banks,ok
MCFE,,,,cik_not_found
MCMJ,,,,cik_not_found
MCW,0001853513,7500,"Services-Automotive Repair, Services & Parking",ok
MDBH,0001934642,6199,Finance Services,ok
MDJH,,,,cik_not_found
MDLA,,,,cik_not_found
MDV,0001645873,6798,Real Estate Investment Trusts,ok
MDWT,,,,cik_not_found
MDXH,0001872529,8071,Services-Medical Laboratories,ok
MEC,0001766368,3460,Metal Forgings & Stampings,ok
MEG,0001643615,8742,Services-Management Consulting Services,ok
MEGL,0001881472,6199,Finance Services,ok
MEKA,,,,cik_not_found
MEOA,,,,cik_not_found
MFI,0001940941,7371,Services-Computer Programming Services,ok
MFLTF,,,,cik_not_found
MGAM,0001886362,7900,Services-Amusement & Recreation Services,ok
MGIH,0001903995,2750,Commercial Printing,ok
MGOL,,,,cik_not_found
MGRX,0001938046,8090,"Services-Misc Health & Allied Services, NEC",ok
MGX,0001785279,2836,"Biological Products, (No Diagnostic Substances)",ok
MHUA,,,,cik_not_found
MIRA,0001904286,2834,Pharmaceutical Preparations,ok
MIRM,0001759425,2834,Pharmaceutical Preparations,ok
MIRO,,,,cik_not_found
MITA,,,,cik_not_found
MITO,,,,cik_not_found
MITQ,0001770236,3861,Photographic Equipment & Supplies,ok
MKDTY,,,,cik_not_found
MKULQ,,,,cik_not_found
MLAC,0002029492,6770,Blank Checks,ok
MLAI,,,,cik_not_found
MLNK,,,,cik_not_found
MLYS,0001933414,2834,Pharmaceutical Preparations,ok
MMA,0001981519,7380,Services-Miscellaneous Business Services,ok
MNCL,,,,cik_not_found
MNDR,0001976695,7372,Services-Prepackaged Software,ok
MNPR,0001645469,2834,Pharmaceutical Preparations,ok
MNR,0001980088,1311,Crude Petroleum & Natural Gas,ok
MNRL,,,,cik_not_found
MNSO,0001815846,5331,Retail-Variety Stores,ok
MNTN,0001891027,7310,Services-Advertising,ok
MOB,0001898643,3721,Aircraft,ok
MOBV,,,,cik_not_found
MOHOY,,,,cik_not_found
MORF,,,,cik_not_found
MOTN,,,,cik_not_found
MOTV,,,,cik_not_found
MPRA,,,,cik_not_found
MRAC,,,,cik_not_found
