tercile,n,median,ci_low,ci_high,concentration_median
T1 pervasive,136,0.10647058823529415,0.04399995803833,0.1875,1.7898985924610684
T2 mid,136,0.08766892686620485,0.018611096276177352,0.13536768450456504,2.069316957458193
T3 compartmentalised,136,0.19500000635782885,0.1166666666666666,0.2577777438693576,2.419940931248701
