category,rho,ci_low,ci_high,p_value,n,p_bonferroni,p_bh
lm_negative_ratio,0.050963664544472716,-0.024983463666185035,0.1264648255292001,0.18898046912098407,666,1.0,0.44095442794896283
lm_positive_ratio,0.11304351475178832,0.03181212373706689,0.1909583576979012,0.0034868628545826298,666,0.024408039982078408,0.013571367140727092
lm_uncertainty_ratio,0.0006672055320455233,-0.07723333413309169,0.07827060717343008,0.9862880602992692,666,1.0,0.9862880602992691
lm_litigious_ratio,-0.11176520346788876,-0.18767961752233764,-0.03737632665239043,0.0038775334687791694,666,0.027142734281454185,0.013571367140727092
lm_constraining_ratio,-0.013043666054164528,-0.0888052900142259,0.06443591029660402,0.7368712192553295,666,1.0,0.8596830891312178
lm_modal_strong_ratio,0.023750452233143187,-0.05283337382648761,0.09912872493374555,0.5406288846540055,666,1.0,0.8596830891312178
lm_modal_weak_ratio,0.013319382999209175,-0.06470064573611226,0.09024182263234039,0.7315213412674519,666,1.0,0.8596830891312178
