model,r2_mean,r2_std,r2_min,r2_max,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,spearman_mean,spearman_std,spearman_min,spearman_max
Baseline: train median,-0.0258,0.0306,-0.0711,-0.0,1.9567,1.7114,0.4274,4.6271,0.565,0.2951,0.2326,0.9509,,,,
Baseline: train mean,-0.2167,0.3276,-0.7704,-0.008,1.9874,1.6566,0.5684,4.6122,0.6985,0.2599,0.4617,1.0825,,,,
Ridge,-0.5565,0.7413,-1.4285,0.0013,2.0658,1.582,0.6658,4.5908,0.8259,0.3392,0.459,1.2757,-0.0368,0.1639,-0.2399,0.1797
RandomForest,-1.9179,2.5652,-5.2767,-0.0013,2.2994,1.4433,1.0703,4.5968,0.9377,0.4225,0.4346,1.432,0.0453,0.2446,-0.1407,0.4406
LightGBM,-2.1544,3.1033,-6.9308,-0.0024,2.2935,1.4139,1.2031,4.5994,0.9246,0.357,0.4371,1.3627,0.1004,0.2258,-0.0687,0.374
