quintile,n,median,ci_low,ci_high,litigious_median
Q1,134,0.17260635718183315,0.0887499650319417,0.24808821722449909,0.009410274958578524
Q2,133,0.1999999598452919,0.11899995803833,0.269166628519694,0.011270459614840878
Q3,133,0.0762499570846557,0.0233333587646484,0.1208333174387614,0.012751289141319781
Q4,133,0.0273684049907485,2.220446049250313e-16,0.1078946966873972,0.014774634921207964
Q5,133,0.026923106266902,0.0,0.0825,0.03462157809983897
